ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,latitude,longitude
11874,retained,33,28,146.9235658,285,75,79,2112.724388,1041.810259,18,18,iPhone,3.128336680254122,101.67173696910501
11118,retained,41,33,166.0809531,220,232,0,448.5151821,314.7803026,20,13,iPhone,3.1391269061960125,101.6944934397496
10778,retained,32,32,98.13519865,1012,45,5,5410.397761,2061.298288,13,13,Android,3.1014908952238707,101.67900006312736
8054,retained,35,29,60.65049109,2149,88,0,6536.708532,5402.13649,11,4,iPhone,3.151343090968355,101.72389031152083
2312,retained,59,51,321.456245,3199,101,0,4503.008097,1055.162142,26,19,iPhone,3.12395580631366,101.68495304375459
14768,,58,52,119.0063574,2833,96,53,1713.734121,1071.852565,11,7,Android,3.152913537367143,101.69061509075875
1889,retained,59,52,128.5801969,2307,36,0,5532.070338,425.0272606,12,11,iPhone,3.1399769693380852,101.65672080714734
8990,retained,67,55,166.7539583,801,21,29,1753.004789,707.2577698,10,10,Android,3.149611724131855,101.69541257427406
169,retained,218,175,309.0933633,1666,0,49,1433.805883,890.4583449,26,18,Android,3.135590477020366,101.70202401621322
1795,retained,218,174,743.8232759,454,0,49,683.3109645,544.3960325,13,6,iPhone,3.111123911082007,101.68336176240524
14303,retained,70,58,93.97245367,2901,0,0,6318.28532,2095.168064,23,23,iPhone,3.1274549188841125,101.6973603805817
3919,churned,270,216,343.0036115,3391,216,0,4251.908012,3011.005488,7,2,Android,3.1228997801737055,101.72682322283217
14018,churned,57,47,141.0779906,2141,81,90,468.3083655,171.814288,1,1,Android,3.1564177750709312,101.68937122946474
3728,retained,281,225,296.0194206,99,46,0,2937.845342,261.2304206,20,18,iPhone,3.131329467673076,101.70498694549732
1039,retained,33,29,138.519063,957,33,231,5548.402986,1083.703646,23,20,iPhone,3.1352794867358753,101.69069532519597
2848,retained,45,36,95.44976791,2311,6,37,1709.253437,896.4029308,9,3,iPhone,3.1152650877114323,101.71049134815863
7864,retained,7,7,134.0003883,2688,0,24,4021.890348,1395.424051,2,2,Android,3.1276593331898273,101.68870975993062
12036,churned,1,1,39.86463786,2211,0,36,4361.825067,1324.395537,10,3,iPhone,3.1146532053578357,101.70934569368315
10411,retained,229,187,414.5094535,2647,0,0,1228.969023,981.7027809,13,9,iPhone,3.1529114702683136,101.69428017271649
8796,retained,148,129,206.1741932,3201,0,0,1901.291105,944.1071931,16,12,iPhone,3.1412725472247507,101.65131790643817
764,retained,82,74,190.3712688,2704,25,0,2443.775395,1891.953616,15,14,iPhone,3.1155558676428874,101.71682205282679
1593,retained,24,19,139.5890526,319,121,138,1680.749508,1221.270991,24,19,iPhone,3.1286720503067844,101.67266204345086
9214,churned,170,137,313.9571878,1341,0,0,1203.250963,451.7371626,14,10,Android,3.1670723829949887,101.69558222130482
7113,retained,115,93,165.180282,123,110,56,3467.895254,1731.639131,21,21,iPhone,3.134521021647545,101.69746318524194
10360,churned,33,29,104.355552,872,26,0,4169.005532,2763.853809,7,7,iPhone,3.144852797731796,101.6981241388704
5145,churned,220,186,350.54906,713,313,60,3078.489409,1046.88515,5,4,iPhone,3.1415109678265827,101.72349752538406
10908,,5,5,142.4525591,1849,68,0,3075.254651,439.2150383,5,3,iPhone,3.1542771927036193,101.67662300586605
11488,retained,142,114,266.2720315,1581,121,13,3338.384889,1824.801677,23,22,iPhone,3.168089053435912,101.72507152352013
9881,retained,31,28,558.062411,2851,414,7,515.8695272,181.4274329,3,3,Android,3.1341884254556267,101.69971364135178
8473,,4,3,31.67954737,1666,188,8,1874.336612,1415.757364,21,15,Android,3.1626988273524206,101.66290286452477
149,retained,40,32,142.4369117,81,172,0,3296.985485,678.2867502,25,16,Android,3.145434427440316,101.72892762747202
13591,retained,109,89,142.9842628,3460,152,0,1438.583606,388.0079539,5,5,Android,3.134295155260651,101.7142853461095
387,retained,116,93,399.5536536,2010,4,28,791.9948649,526.9656559,23,14,iPhone,3.162433643944456,101.72432418902986
12374,retained,24,21,66.71761913,548,176,24,537.7815116,286.3363668,17,15,iPhone,3.090665326997088,101.67898509221813
4514,retained,94,75,191.1995565,2412,226,32,3670.932491,858.53948,1,0,iPhone,3.1232231350279895,101.69808930440145
1373,retained,55,46,98.26772183,2903,69,34,2774.78327,721.777617,7,7,Android,3.1326805522927135,101.70801746278954
2884,retained,2,2,3.206452971,1518,35,8,6489.515816,1362.695426,18,13,Android,3.131437508392608,101.65731199257166
11400,retained,131,105,323.9327295,2715,29,43,2721.177299,69.40396133,11,4,Android,3.1434049015706336,101.68171738012822
5125,retained,44,38,138.3350572,908,20,14,3691.359769,1739.338058,8,8,Android,3.103474607313623,101.71530718918866
2991,retained,27,23,43.94301269,2225,0,18,2240.787403,782.9428248,4,4,iPhone,3.1601595406413625,101.71473784957473
5549,retained,11,10,28.50695901,1455,0,46,2592.935543,1559.929679,20,19,iPhone,3.133499730554899,101.69536333973798
10530,retained,80,71,218.6500567,2376,15,301,5864.713858,3531.473547,11,11,Android,3.17394501617261,101.67388014274367
14866,retained,14,12,57.31751848,2977,0,0,1294.079655,986.523794,2,2,Android,3.138727636805071,101.71481583810527
3461,retained,7,7,205.2944157,2000,374,0,2372.172777,1605.645349,12,5,iPhone,3.1679013465774752,101.66937890224851
3024,churned,30,25,36.76006407,3436,157,69,3589.366544,1680.339108,16,9,iPhone,3.1507151712032444,101.68124395927141
251,churned,94,75,102.201763,1718,0,98,5314.988573,1962.160205,3,3,Android,3.133905624200282,101.66007592614194
13351,churned,63,59,308.1454995,2542,857,0,2975.062932,1605.54889,5,5,iPhone,3.1078943318888244,101.67432627787883
12858,retained,15,12,29.22666101,1204,274,7,4161.710579,363.9166098,29,18,iPhone,3.1380245176682062,101.71414182328814
8500,retained,172,138,237.8114502,673,19,0,3111.646611,988.0859917,8,5,iPhone,3.149831882123463,101.66735359309766
932,churned,253,203,256.0057703,1794,68,0,2178.622083,555.9708888,9,4,iPhone,3.1472802588388937,101.7129689260021
10024,retained,2,2,163.2971001,437,38,72,1298.199977,1059.066863,28,21,Android,3.1481744708482124,101.72425845878003
8893,retained,40,33,71.29283987,2547,19,31,5355.177047,3620.223781,26,23,iPhone,3.128767122901708,101.6814069312059
5692,retained,37,30,143.1407697,2125,8,0,5484.851336,2184.382121,4,0,iPhone,3.154996268006514,101.73897424069534
12986,retained,29,26,719.6577119,1575,101,0,7712.062403,4826.250311,17,10,Android,3.1317009139156675,101.69725449199095
14109,retained,279,224,377.5651296,1231,55,0,4441.773529,2594.683553,22,14,iPhone,3.1127547233489374,101.65831604154754
9263,retained,29,28,161.5754119,3089,19,0,5975.226463,2573.112542,16,16,iPhone,3.15133488046797,101.67799380122895
3251,retained,87,72,111.9562979,2997,60,0,3413.990124,2625.723313,0,0,iPhone,3.1634784040323383,101.67147747139354
10509,retained,11,9,43.40018971,2254,21,0,4073.480253,1214.012834,17,11,iPhone,3.126978208679172,101.71155663500613
3599,retained,57,46,61.26235976,859,297,29,2032.321422,96.21349632,21,14,iPhone,3.1218522380020173,101.6913457317199
14602,,172,172,226.8133136,576,208,0,2145.656353,1448.904804,30,22,iPhone,3.1323050112295827,101.70342935726839
6987,retained,79,63,110.6627661,1166,67,11,2714.375996,971.5046383,15,10,iPhone,3.145322099873787,101.69211087132915
6105,retained,8,8,114.6890905,1283,211,2,10444.77074,3956.978138,4,0,iPhone,3.145822644425222,101.66250495681713
2214,retained,5,4,21.49545052,1293,165,0,3152.236687,2102.690034,25,15,iPhone,3.1465631187121392,101.66471857407723
2216,,281,225,281.5510256,577,0,0,3146.724192,1793.352918,8,4,iPhone,3.117115043472768,101.65441379284383
13876,retained,164,132,177.2035567,134,0,13,1010.59119,725.4088124,31,30,iPhone,3.127249284300417,101.66219682707441
2859,retained,93,75,105.8666382,3043,126,76,3104.841802,1118.715385,24,23,iPhone,3.115218325853097,101.66027878375519
4921,retained,7,7,196.3485763,3079,26,56,5305.551392,3582.0742,14,6,iPhone,3.141534768679817,101.68326426955781
2760,retained,5,5,134.4266866,2308,0,0,3967.220555,916.7657151,9,8,Android,3.1291835163404524,101.67106260336736
3289,churned,99,99,192.7016272,2872,197,0,2091.199569,599.9158934,1,0,Android,3.1487317996249318,101.71334248848224
14333,retained,157,126,390.0907337,3045,87,69,7405.739735,4878.006557,4,4,iPhone,3.1332186786991825,101.6764530524715
2626,retained,6,5,102.1453576,1022,0,0,6246.595323,4480.664177,31,24,iPhone,3.1569047043332703,101.69759992070743
13223,retained,5,4,73.59043419,2217,335,15,5730.422491,4594.622779,19,18,Android,3.137715025276278,101.70470640323299
4935,retained,7,7,51.22406739,2914,190,9,8570.42092,624.4758977,5,5,iPhone,3.1417479741350576,101.68429332082098
3429,churned,125,101,138.0457463,377,18,0,2960.081431,1856.807854,2,0,iPhone,3.1335538849801914,101.68049644156515
6248,retained,33,26,105.8030288,2530,73,72,6305.648391,1559.236806,11,11,Android,3.139751209348396,101.6872159338565
11450,retained,97,78,294.1312687,1754,240,0,4157.873912,1437.668641,13,9,iPhone,3.160966461554368,101.6942449946163
8454,retained,98,78,112.0660848,1402,0,18,2602.105199,787.8974417,8,2,iPhone,3.1728234642256066,101.71707747592258
12518,retained,87,69,156.6807866,3489,26,110,2580.335826,2007.522586,6,6,Android,3.1216796788899583,101.73503060279256
7791,retained,234,187,317.9881121,2946,259,1,2432.983235,1469.739056,20,19,iPhone,3.1805628811878894,101.6704273224429
11751,,34,29,377.9259305,737,80,32,2253.568346,1483.589121,30,25,iPhone,3.1439824049308016,101.67515840393935
9199,retained,11,9,819.9430999,899,10,58,2524.278691,660.5655552,8,8,iPhone,3.1504078331040213,101.66178359042054
14614,retained,115,95,259.7795455,2807,23,28,2059.968531,694.7687377,26,24,iPhone,3.1400210950758156,101.69868858314298
2678,retained,89,73,547.180722,583,10,33,1716.547809,1378.144203,10,5,iPhone,3.1322976586441205,101.65832520074946
3707,retained,400,320,527.2495986,3369,3,25,1349.593346,794.1362562,13,13,iPhone,3.1222398595951697,101.72460856733706
14689,retained,86,70,179.8075894,1098,18,33,3576.03601,1445.597174,17,10,Android,3.1663310972666854,101.69117267574151
2805,retained,179,148,330.8644204,102,0,28,5883.183023,1452.084653,11,11,Android,3.1302905190392365,101.69669339517588
1453,retained,249,199,464.2562448,274,244,0,4194.915953,3395.351975,1,1,iPhone,3.1645338839867927,101.69167173520775
14420,retained,119,95,123.6082908,2454,30,49,6958.976861,4401.054541,23,21,iPhone,3.1466967059121576,101.67801791874946
8396,retained,4,4,103.4439778,2483,413,112,1207.709923,338.6883698,8,6,iPhone,3.1415326119884868,101.6769224869426
2319,retained,25,21,116.6865918,1809,24,30,1170.431337,295.5073877,31,30,iPhone,3.115349599555447,101.67546416803654
5781,retained,153,123,473.0417662,1032,0,0,1132.742032,779.9049839,3,0,iPhone,3.1572133417557287,101.63962861376119
13733,retained,2,2,430.6338486,3168,198,0,2316.861841,1559.218414,11,11,iPhone,3.1583668752816982,101.64246674190694
11498,retained,72,58,272.5760341,70,24,0,2851.629745,1827.591269,18,17,iPhone,3.1691396873461013,101.67049205416862
12294,churned,172,140,173.7632956,1058,2,65,5024.27854,3705.545202,10,10,iPhone,3.1499092460560685,101.66532178472941
2288,retained,73,59,141.5137135,3093,221,10,3739.584892,2762.503521,24,14,iPhone,3.113036996487251,101.69363223041604
9839,churned,25,22,58.46055456,3379,0,16,2124.626465,1412.725234,21,14,iPhone,3.1453488871809308,101.6652293599471
13617,churned,16,14,36.60951383,831,7,46,1763.758334,704.3596912,12,12,iPhone,3.1400635589580626,101.72081222433263
7563,retained,195,156,377.1697871,1772,81,61,6862.312959,3503.493993,29,27,iPhone,3.1450728360081217,101.6977662061595
1713,,67,64,474.1736007,1012,118,207,4908.032251,2526.424897,13,8,iPhone,3.0883132761638574,101.66843975133729
11213,retained,72,61,144.5111911,2373,0,0,2928.213267,335.3574352,8,7,Android,3.1168919495007823,101.70213259966425
14598,retained,28,28,288.348937,899,44,5,5055.944725,976.6102622,14,6,iPhone,3.1336934240047256,101.72126487007608
6045,retained,197,158,303.4990129,2628,0,31,1148.345393,850.0091515,14,11,iPhone,3.129570915736836,101.7013152448909
6909,churned,54,44,74.38998873,1096,0,0,2652.236302,1704.227509,19,18,iPhone,3.1266396985525553,101.6798488794768
12593,retained,10,10,16.21852439,1214,347,69,4963.6848,407.9809735,5,1,iPhone,3.1000077921691256,101.6809606429176
5220,retained,138,113,167.3494709,2348,138,23,2320.969654,1681.966443,19,17,iPhone,3.13791844301399,101.67051334716649
3668,retained,6,6,31.48282571,184,70,11,10974.69781,6227.562386,17,17,iPhone,3.1331278568200474,101.69023353390112
14185,retained,113,91,181.5775158,2829,697,51,7338.389898,3421.999483,19,10,iPhone,3.1199260313352313,101.66305756914292
6699,retained,184,147,257.0525878,2506,266,0,2793.899905,1647.608292,17,11,Android,3.1480301021742276,101.66975275776932
5999,retained,48,41,230.1784702,661,126,21,3068.006884,1666.274289,26,18,iPhone,3.142154947933715,101.67732532670817
13531,retained,13,10,38.36515508,392,0,20,3101.296889,1963.757585,17,10,iPhone,3.125714579798563,101.67178773686595
5012,retained,114,94,146.5397736,3187,0,53,4847.768749,3455.896559,26,17,iPhone,3.114538848322172,101.67520834905027
12898,retained,74,60,336.3937759,2571,121,60,13191.01014,5894.831107,4,0,iPhone,3.130841127295509,101.73730973542935
14564,retained,510,409,820.1076236,1824,38,40,2036.536358,1608.014038,3,3,Android,3.1770886062822825,101.67575792851447
1489,retained,14,14,146.1276208,1841,94,0,5236.692887,2663.224255,5,5,Android,3.1544652244284026,101.70525876725343
1606,retained,88,72,119.9463017,1818,0,0,1593.9202,1022.393184,26,18,iPhone,3.1558371325879295,101.69377725089424
8593,churned,161,129,505.6786178,675,25,10,5566.432673,2594.801317,2,0,Android,3.169393308784104,101.66346569821394
4519,retained,220,178,252.0524403,3261,0,0,2457.534088,1553.318697,18,14,iPhone,3.1620606683102586,101.68888611911493
1402,retained,22,21,22.39428202,1255,0,0,3020.59635,930.2469764,22,18,iPhone,3.141969906116022,101.69991911342221
9386,retained,151,125,267.8163626,1841,0,48,3227.130107,2298.391046,3,3,iPhone,3.1361542166988086,101.67801075057397
14178,retained,11,11,76.68074272,3380,0,64,3846.924908,417.6286405,5,5,iPhone,3.128796660291875,101.63614066922591
8793,retained,4,4,426.6042853,2839,284,0,13507.83284,5117.895249,25,22,Android,3.16295358449067,101.65560298724824
1006,retained,13,10,55.94295957,2844,1,0,5523.401282,4036.561772,23,22,iPhone,3.079187971035909,101.6773660929273
2791,churned,30,24,520.4517626,433,78,34,3956.794312,2903.20945,3,2,iPhone,3.1453215638430723,101.67889596433581
2704,retained,14,11,28.48136292,2356,47,28,1700.208351,629.5757772,22,22,Android,3.145862213268627,101.66756781592649
12071,retained,55,45,213.5591641,1720,0,0,11175.48591,1116.742145,6,1,Android,3.1644423237948294,101.69315300653896
13839,churned,21,21,30.77790232,1657,477,34,2346.308007,895.4754973,25,19,iPhone,3.1679704272208316,101.71317716457526
7038,retained,46,37,82.34748568,2507,16,3,3935.565124,753.1748253,6,2,iPhone,3.167253356065183,101.67321974018877
12286,retained,21,17,73.57287458,778,59,92,1557.661958,904.8286827,18,10,iPhone,3.199393062846761,101.71189353704756
7336,retained,104,83,105.9604435,949,39,0,891.8917742,673.2055582,13,9,iPhone,3.130796596195378,101.66289289520948
2357,churned,27,22,332.6346624,236,209,3,3333.931435,1167.484598,3,3,Android,3.1475338968460873,101.71757759922451
11958,retained,8,7,14.88960275,1906,136,0,4725.321655,1107.206878,29,26,iPhone,3.1402918672043474,101.71945839270896
290,churned,13,13,27.58100881,2523,245,21,1406.660825,757.3981893,3,0,Android,3.1520107297795517,101.68130325842581
11286,retained,236,189,523.1193738,2403,6,0,3070.163784,635.358223,11,8,iPhone,3.1283677881474263,101.68692982280801
7852,retained,160,130,189.6631598,59,0,0,7255.835204,5922.325972,19,11,iPhone,3.1347206855354672,101.65226762956301
3595,retained,132,107,206.3137524,1986,239,29,3169.692933,1894.055467,20,14,iPhone,3.154998071830023,101.72487130917368
11024,retained,33,30,149.0623543,3084,42,0,8125.770512,4571.034762,1,0,iPhone,3.1388846056714543,101.72352900062127
88,retained,306,246,320.2575311,2252,60,0,3595.562658,2420.119875,28,20,Android,3.134872018851189,101.67536975056086
14920,retained,35,28,217.820669,495,0,0,3552.067408,1869.441855,15,15,iPhone,3.134142161993656,101.71284763901475
2232,retained,20,20,89.88520191,2316,121,29,1881.167466,1444.249504,16,15,iPhone,3.1275634842855107,101.70374315475102
3325,retained,122,99,188.7078835,2914,0,9,818.4458005,656.6546462,27,20,Android,3.1230099668308857,101.68347458545405
14335,churned,76,61,199.9926893,1371,256,0,3892.781135,980.4574814,9,7,iPhone,3.155976945636751,101.6637205402593
6247,retained,137,110,402.5307574,612,265,0,1403.526987,324.8930982,27,18,iPhone,3.126215077330992,101.69935178461871
12585,churned,4,4,64.72248328,3221,398,9,4000.677242,2809.685548,15,15,Android,3.12030216947162,101.68252241773868
11626,retained,29,23,144.4716902,1159,186,9,2150.512476,1783.538373,24,16,Android,3.145792321662599,101.70248594930685
8390,retained,208,169,363.1524018,3428,0,0,3388.553449,928.7937762,15,8,iPhone,3.1568917106533734,101.70220704832575
9027,retained,20,17,288.3800651,3213,0,3,8900.348603,1788.269624,22,16,iPhone,3.1551143056955335,101.66600047650493
1056,retained,4,4,69.7874235,556,5,0,1450.628794,983.2608417,21,18,iPhone,3.125453749434996,101.68534821044076
903,retained,44,36,242.8923258,1815,3,36,3594.088217,1838.634564,2,2,Android,3.1237811403886604,101.70264988063772
14077,retained,175,153,189.1237813,516,117,109,3842.378444,795.7401881,18,16,iPhone,3.114579069377045,101.67823472985621
8668,retained,134,108,276.9381164,712,0,114,5345.061301,597.0927454,25,21,iPhone,3.1969507798024384,101.7318852533265
2039,retained,53,42,86.73664191,1147,68,14,7650.290902,546.0508963,25,17,iPhone,3.1296015400075157,101.69296137751995
1611,churned,111,89,242.8853395,163,303,16,5659.498249,3111.643965,1,1,Android,3.1735291274375736,101.6805936892048
5775,retained,42,34,84.34652845,534,0,0,5975.433355,4495.648653,9,5,Android,3.1268607555200503,101.69052216925539
736,retained,78,63,147.4909529,3356,232,22,3984.074249,2524.308045,29,26,iPhone,3.127627153781197,101.65948509832266
14331,retained,129,108,144.6960418,498,362,0,1428.270581,1149.78282,26,24,iPhone,3.1223968336882284,101.70705025385915
4878,retained,90,75,102.5064663,2392,102,0,3067.315073,1537.24569,26,23,iPhone,3.143748753146365,101.68938707298342
4123,retained,489,391,504.6170537,385,15,53,7363.263076,3418.281276,2,2,iPhone,3.1069752735676603,101.69729810031086
4130,retained,74,60,84.82982087,2470,32,52,1419.185417,1171.640156,2,0,iPhone,3.163010461839068,101.7014685388844
8242,retained,19,15,50.10881298,2765,178,2,2674.194751,2111.076807,3,0,iPhone,3.1363078286101977,101.68042029247067
6418,retained,8,8,9.434743682,1418,29,52,2558.849475,749.1133252,2,1,iPhone,3.1492465010841033,101.6752300167594
2864,retained,111,92,226.4188913,1323,405,0,3748.262479,2098.429836,11,10,iPhone,3.1241027944172957,101.67947644610483
12503,retained,86,86,206.1801319,3075,252,17,3009.713276,2179.793169,19,14,iPhone,3.1258832029887755,101.71358412214585
1418,churned,26,21,452.5579373,956,53,2,1969.933826,708.5421534,21,21,iPhone,3.1446947111413865,101.67889888695181
3323,retained,87,70,166.1974629,545,452,0,6026.857663,2141.674573,5,5,Android,3.138832039653313,101.685331572431
4147,retained,63,63,66.17532858,2328,159,0,3456.296017,1968.745295,28,24,Android,3.16080241242355,101.68589729403135
13642,retained,36,31,91.69482068,1616,60,0,2163.42027,941.3155229,27,19,iPhone,3.147619922713943,101.66484648699007
10447,retained,58,46,111.2312978,867,180,0,3125.27866,884.636263,5,3,Android,3.128188087678744,101.65921095035735
1010,,41,41,106.8090825,1509,0,0,4751.001252,2569.584302,22,20,iPhone,3.1010524533895434,101.67814434704789
4096,retained,69,55,154.662299,3382,0,50,2407.115621,417.1041396,13,13,iPhone,3.144389127843961,101.69896101570298
8422,retained,5,5,33.08516856,1644,0,0,3564.763602,2813.2992,16,14,iPhone,3.1301114000654855,101.69716280798157
6605,retained,31,31,237.5862105,2066,6,0,4518.020623,1436.988335,16,16,iPhone,3.1260541309483134,101.67985035906823
14952,churned,139,111,155.427463,2720,93,0,5966.377728,3938.3975,3,3,Android,3.113206096881592,101.69895171441682
12702,churned,3,2,125.7863233,3226,18,0,2764.47026,1909.180845,6,2,Android,3.1152396233310093,101.66032097455353
14354,retained,78,63,98.75446945,508,0,12,3068.292175,2271.805181,14,9,iPhone,3.146441555653941,101.68129023165507
14836,retained,105,84,198.1965585,116,42,0,5638.936935,1589.995061,14,11,Android,3.159168975159815,101.68130041525012
14568,retained,49,49,502.9944748,1088,0,136,3467.609391,2325.564763,11,6,iPhone,3.117495753624356,101.65984125162173
8466,retained,108,87,143.3381787,1479,16,6,8732.342635,2934.318001,23,20,iPhone,3.125673340963564,101.69828399553327
9967,churned,100,80,100.8229501,3231,19,0,1990.220855,1328.90061,22,21,iPhone,3.133487378006642,101.69712430748223
3366,retained,41,33,286.1453392,3165,50,0,3999.733362,2670.623093,9,5,iPhone,3.1095040794643642,101.68676840827015
10836,churned,45,37,166.3976574,1345,221,0,4874.891819,3462.444059,4,4,Android,3.1179021553621795,101.7146809369472
11527,churned,146,118,206.0122629,592,61,49,1817.499726,643.2298128,20,15,iPhone,3.1150680122257657,101.71568872709328
12064,retained,49,41,52.44177232,1019,104,3,683.0419834,459.5575056,13,7,Android,3.1468167562564062,101.71479314244439
11360,retained,225,180,582.0554265,580,0,0,2350.535908,1379.140123,18,12,Android,3.112836517800761,101.66092956794024
8045,retained,131,104,173.8336812,3031,157,0,1048.614834,482.8474202,21,12,iPhone,3.140568353959133,101.6644802381848
1385,churned,46,38,72.16939064,2101,0,3,5072.52866,3896.900221,7,2,iPhone,3.1305982799013155,101.69785007355972
11004,retained,12,10,253.0764126,3335,57,0,3338.725229,2555.654867,16,9,iPhone,3.1433962570612572,101.68955023394876
4871,retained,15,15,75.72802624,1228,0,8,2342.665104,1589.464632,20,16,Android,3.141847265831818,101.7181952134705
735,retained,76,61,122.3234369,2276,259,93,2203.938525,1156.394574,9,9,iPhone,3.1215142608559923,101.6971944664244
13043,retained,20,17,131.1040223,403,516,0,4677.120803,2933.404781,20,15,iPhone,3.146524678624173,101.67962403977764
12793,retained,58,46,161.5382875,2955,0,8,2534.853016,1699.607269,22,15,Android,3.091891536247288,101.67088090389046
13431,retained,8,8,13.24704691,1580,147,18,5337.409812,4303.146027,8,5,iPhone,3.1395885010284887,101.70148562032237
2858,retained,154,133,154.5543522,1522,0,70,2604.870264,630.6274061,27,18,iPhone,3.1351892542054602,101.68963900613937
9895,retained,375,301,464.3070717,1689,330,0,1684.349094,1274.660772,28,23,iPhone,3.135026377688632,101.70258708431079
9049,retained,126,115,305.4504447,1388,36,62,3765.463129,2885.462865,21,18,iPhone,3.1612116063501743,101.68975601078778
10715,retained,54,45,69.78783113,1704,225,0,1821.813544,673.9569828,6,1,Android,3.158229865803968,101.69626292328054
3656,retained,33,27,34.68126845,465,136,0,5922.039183,3224.479063,30,21,iPhone,3.179443497176572,101.67286403967805
14163,retained,171,138,188.3064729,1047,0,15,4458.400946,2660.259319,24,24,iPhone,3.1513669451466133,101.67659638942494
884,retained,28,23,223.8868021,36,0,0,3454.439242,2641.729248,20,19,Android,3.158558165385462,101.66136444927231
12827,retained,94,76,175.254308,2998,51,0,3511.6326,195.5440921,6,1,Android,3.1341087960239395,101.72585589719993
5815,retained,194,157,250.7915693,2228,8,171,3567.93337,1934.691574,5,4,iPhone,3.1218976368626654,101.69140672035847
11183,retained,34,28,41.36201501,2938,11,42,803.0254145,510.5614099,17,11,iPhone,3.1227788815193716,101.72129227133492
2417,retained,30,24,155.2999746,2871,0,100,2074.547955,187.154944,28,17,iPhone,3.1119592714586433,101.68057646455739
11492,churned,27,26,90.70638211,3142,130,35,4495.876955,3378.94516,11,11,iPhone,3.1257761356522438,101.67551608200506
14353,retained,20,16,89.79559963,1518,0,0,4711.794305,2891.106242,25,20,iPhone,3.1296864412276233,101.6927589018301
10399,retained,93,74,94.05048704,1157,308,0,3311.412302,899.6198519,8,6,Android,3.140012216943444,101.62550298630599
5931,retained,10,9,16.60608202,2551,0,65,6302.745607,3978.440324,26,24,Android,3.116541127133279,101.66951874263367
2919,retained,41,38,68.93584544,595,104,0,2300.273848,1574.954619,20,16,iPhone,3.1578079913789225,101.7332564328698
12920,churned,94,77,224.8362254,469,31,0,3297.237228,1826.516016,9,5,iPhone,3.132647190703071,101.68643764501903
9239,churned,5,5,124.7872925,2792,0,12,2272.818031,1227.364697,3,0,iPhone,3.1680623097257445,101.63431200013069
6521,churned,34,28,76.65786365,2957,0,0,2226.59903,1749.013349,12,6,iPhone,3.126630086298913,101.67721675764899
8977,retained,35,30,52.89329987,1850,711,39,13835.67362,554.3521573,11,6,Android,3.1526188208646757,101.67899486147708
3989,churned,27,22,219.3556024,536,170,131,6079.34019,4623.470028,0,0,Android,3.154042658159642,101.68201636456774
9775,retained,5,4,137.9241162,975,449,99,4951.944697,3327.864321,19,18,Android,3.1221628866801536,101.67614462634789
11623,retained,21,17,181.0767513,1338,3,0,337.9751402,214.9293446,11,7,Android,3.136423110211643,101.73149099944744
12391,retained,66,57,156.4011442,1792,114,0,8897.596243,5488.558938,10,6,iPhone,3.110314691820772,101.69265600851979
10215,retained,271,218,385.7292382,3355,0,3,2323.230035,1399.347657,25,18,Android,3.1260683956038533,101.70389451313689
